Column1,Column2,Column3,Column4,Column5,Column6
"2425584.500000000, A.D. 1928-Dec-04 00",00,"00.0000, -2.887350146696674E+09,  2.913182491549132E+09, -1.286784057607677E+09,  2.761425799250140E+01, -5.810932589357099E+00, -8.495892987052820E-01,",,,
"2425615.500000000, A.D. 1929-Jan-04 00",00,"00.0000, -2.810748659162434E+09,  2.919238948938012E+09, -1.289048582709780E+09,  2.809223070485535E+01,  1.036822034047255E+01, -8.422395915986596E-01,",,,
"2425646.500000000, A.D. 1929-Feb-04 00",00,"00.0000, -2.744597594789890E+09,  2.966823334529078E+09, -1.291292033792479E+09,  2.003139101222678E+01,  2.439375946082966E+01, -8.347515171067652E-01,",,,
"2425674.500000000, A.D. 1929-Mar-04 00",00,"00.0000, -2.710646505389052E+09,  3.035938563988864E+09, -1.293301720149713E+09,  7.481259420150741E+00,  3.168926214450087E+01, -8.287623698799464E-01,",,,
"2425705.500000000, A.D. 1929-Apr-04 00",00,"00.0000, -2.711846203768898E+09,  3.122958267756476E+09, -1.295511857310402E+09, -8.329333113689223E+00,  3.186916622860914E+01, -8.229032729390777E-01,",,,
"2425735.500000000, A.D. 1929-May-04 00",00,"00.0000, -2.751327870274029E+09,  3.197379353732059E+09, -1.297638817464391E+09, -2.145353673758263E+01,  2.446757840597347E+01, -8.183992006146443E-01,",,,
"2425766.500000000, A.D. 1929-Jun-04 00",00,"00.0000, -2.820936417013418E+09,  3.246156380301635E+09, -1.299827092967602E+09, -2.936365954947274E+01,  1.131152333244084E+01, -8.144582983326334E-01,",,,
"2425796.500000000, A.D. 1929-Jul-04 00",00,"00.0000, -2.899218027828207E+09,  3.256380222772843E+09, -1.301936978122469E+09, -2.982238198801346E+01, -3.435880888219284E+00, -8.115167438253412E-01,",,,
"2425827.500000000, A.D. 1929-Aug-04 00",00,"00.0000, -2.971272746049796E+09,  3.228242827004278E+09, -1.304109016858087E+09, -2.282822337267487E+01, -1.698094806665205E+01, -8.088890027087707E-01,",,,
"2425858.500000000, A.D. 1929-Sep-04 00",00,"00.0000, -3.016141385059407E+09,  3.170094700564044E+09, -1.306271377455856E+09, -9.934474255887174E+00, -2.534935117871059E+01, -8.057228775881118E-01,",,,
"2425888.500000000, A.D. 1929-Oct-04 00",00,"00.0000, -3.022520881614059E+09,  3.101582080180950E+09, -1.308351974816475E+09,  5.130893582420435E+00, -2.625125945053535E+01, -8.009712644647990E-01,",,,
"2425919.500000000, A.D. 1929-Nov-04 00",00,"00.0000, -2.989031484940407E+09,  3.039063131502636E+09, -1.310486207071714E+09,  1.929094545236820E+01, -1.915239705196624E+01, -7.942954066764667E-01,",,,
"2425949.500000000, A.D. 1929-Dec-04 00",00,"00.0000, -2.926648625086379E+09,  3.005362031941080E+09, -1.312533305454153E+09,  2.772522644835026E+01, -6.080964648631918E+00, -7.865525788460501E-01,",,,
"2425980.500000000, A.D. 1930-Jan-04 00",00,"00.0000, -2.849693733087046E+09,  3.010650076844159E+09, -1.314628112110932E+09,  2.826080611751961E+01,  1.010179134432332E+01, -7.778842855478771E-01,",,,
"2426011.500000000, A.D. 1930-Feb-04 00",00,"00.0000, -2.783006911615272E+09,  3.057512080625473E+09, -1.316702220461357E+09,  2.024775545107211E+01,  2.415834070576093E+01, -7.698943872967536E-01,",,,
"2426039.500000000, A.D. 1930-Mar-04 00",00,"00.0000, -2.748453839742115E+09,  3.126087827027877E+09, -1.318559974894721E+09,  7.727379949593038E+00,  3.150894362624845E+01, -7.641275131146141E-01,",,,
"2426070.500000000, A.D. 1930-Apr-04 00",00,"00.0000, -2.748948784503816E+09,  3.212687002748088E+09, -1.320602154213480E+09, -8.089278242681246E+00,  3.174333875072274E+01, -7.593262537444421E-01,",,,
"2426100.500000000, A.D. 1930-May-04 00",00,"00.0000, -2.787794644371737E+09,  3.286867942296834E+09, -1.322567515809217E+09, -2.124212066322949E+01,  2.438684923257090E+01, -7.562993516932757E-01,",,,
"2426131.500000000, A.D. 1930-Jun-04 00",00,"00.0000, -2.856870643115388E+09,  3.335517267633922E+09, -1.324589845837379E+09, -2.919208864184008E+01,  1.125716169044770E+01, -7.543105689585632E-01,",,,
"2426161.500000000, A.D. 1930-Jul-04 00",00,"00.0000, -2.934794127818502E+09,  3.345664843940763E+09, -1.326539923205156E+09, -2.970092228732229E+01, -3.482491750524887E+00, -7.520047499246230E-01,",,,
"2426192.500000000, A.D. 1930-Aug-04 00",00,"00.0000, -3.006641498121468E+09,  3.317413460368374E+09, -1.328547531994345E+09, -2.275816018347981E+01, -1.703818028185018E+01, -7.486327746923331E-01,",,,
"2426223.500000000, A.D. 1930-Sep-04 00",00,"00.0000, -3.051434476203936E+09,  3.259043206965078E+09, -1.330545581543292E+09, -9.911287492493900E+00, -2.544463112249700E+01, -7.438514764796054E-01,",,,
"2426253.500000000, A.D. 1930-Oct-04 00",00,"00.0000, -3.057803026201384E+09,  3.190159400505149E+09, -1.332467365739235E+09,  5.135383280101734E+00, -2.640747559260983E+01, -7.382384818469205E-01,",,,
"2426284.500000000, A.D. 1930-Nov-04 00",00,"00.0000, -3.024276741039423E+09,  3.127082154784944E+09, -1.334437719047464E+09,  1.930863666718328E+01, -1.937789107520621E+01, -7.313580196197416E-01,",,,
"2426314.500000000, A.D. 1930-Dec-04 00",00,"00.0000, -2.961744371180596E+09,  3.092700554831578E+09, -1.336326945279912E+09,  2.779466523101998E+01, -6.356095246894096E+00, -7.243829845985257E-01,",,,
"2426345.500000000, A.D. 1931-Jan-04 00",00,"00.0000, -2.884454661704907E+09,  3.097223511392548E+09, -1.338259471186136E+09,  2.840666636726809E+01,  9.806938743254131E+00, -7.175990918777302E-01,",,,
"2426376.500000000, A.D. 1931-Feb-04 00",00,"00.0000, -2.817239857519645E+09,  3.143365277729808E+09, -1.340172564274648E+09,  2.047243233876872E+01,  2.389072045407181E+01, -7.115500564086705E-01,",,,
"2426404.500000000, A.D. 1931-Mar-04 00",00,"00.0000, -2.782091214817868E+09,  3.211414915718376E+09, -1.341885259580684E+09,  7.986432304075408E+00,  3.129857518965967E+01, -7.062518791656505E-01,",,,
"2426435.500000000, A.D. 1931-Apr-04 00",00,"00.0000, -2.781883621706410E+09,  3.297600808663936E+09, -1.343767957979319E+09, -7.813881299432597E+00,  3.161090438899501E+01, -7.016953042894176E-01,",,,
"2426465.500000000, A.D. 1931-May-04 00",00,"00.0000, -2.820096036591503E+09,  3.371551561527850E+09, -1.345579179262645E+09, -2.099511604077284E+01,  2.432415421621497E+01, -6.978022908266794E-01,",,,
"2426496.500000000, A.D. 1931-Jun-04 00",00,"00.0000, -2.888638733992599E+09,  3.420088900337521E+09, -1.347442349540452E+09, -2.900964528819287E+01,  1.124530998268176E+01, -6.940771529622265E-01,",,,
"2426526.500000000, A.D. 1931-Jul-04 00",00,"00.0000, -2.966206973375141E+09,  3.430177124896208E+09, -1.349238518801215E+09, -2.959347842847514E+01, -3.486536058951724E+00, -6.910211089364289E-01,",,,
"2426557.500000000, A.D. 1931-Aug-04 00",00,"00.0000, -3.037856319803869E+09,  3.401833008615028E+09, -1.351087292322096E+09, -2.272542738327615E+01, -1.707559027865744E+01, -6.878179383868046E-01,",,,
"2426588.500000000, A.D. 1931-Sep-04 00",00,"00.0000, -3.082588119332205E+09,  3.343256214586830E+09, -1.352927227625220E+09, -9.924223440054769E+00, -2.555034050339002E+01, -6.844263990198947E-01,",,,
"2426618.500000000, A.D. 1931-Oct-04 00",00,"00.0000, -3.088957346437581E+09,  3.274011352827945E+09, -1.354696932257735E+09,  5.117903496500648E+00, -2.659047916273531E+01, -6.802536421897933E-01,",,,
"2426649.500000000, A.D. 1931-Nov-04 00",00,"00.0000, -3.055402550466227E+09,  3.210379052919748E+09, -1.356511186834084E+09,  1.933385055809975E+01, -1.963575393802226E+01, -6.749914929656553E-01,",,,
"2426679.500000000, A.D. 1931-Dec-04 00",00,"00.0000, -2.992723126726395E+09,  3.175322298665100E+09, -1.358250086170598E+09,  2.789162766710045E+01, -6.652682065941333E+00, -6.684443303225009E-01,",,,
"2426710.500000000, A.D. 1932-Jan-04 00",00,"00.0000, -2.915095929229805E+09,  3.179088660449553E+09, -1.360027877949270E+09,  2.859070533027231E+01,  9.522289143478964E+00, -6.606702769247854E-01,",,,
"2426741.500000000, A.D. 1932-Feb-04 00",00,"00.0000, -2.847351996427934E+09,  3.224527705336329E+09, -1.361786189268044E+09,  2.071669437314132E+01,  2.366357808601906E+01, -6.528069397696417E-01,",,,
"2426770.500000000, A.D. 1932-Mar-04 00",00,"00.0000, -2.810920781740094E+09,  3.294758402976638E+09, -1.363415357704155E+09,  7.759335238481210E+00,  3.128071719546156E+01, -6.469164357781505E-01,",,,
"2426801.500000000, A.D. 1932-Apr-04 00",00,"00.0000, -2.811380861292353E+09,  3.380577778978765E+09, -1.365143138108514E+09, -8.057308422433914E+00,  3.139365046432186E+01, -6.419305587769060E-01,",,,
"2426831.500000000, A.D. 1932-May-04 00",00,"00.0000, -2.850104807365426E+09,  3.453686194722433E+09, -1.366805139067515E+09, -2.115209698456009E+01,  2.393664325474479E+01, -6.388202079407677E-01,",,,
"2426862.500000000, A.D. 1932-Jun-04 00",00,"00.0000, -2.918817600035525E+09,  3.500998708055759E+09, -1.368514837333226E+09, -2.900661841664774E+01,  1.074625862561522E+01, -6.369267114900863E-01,",,,
"2426892.500000000, A.D. 1932-Jul-04 00",00,"00.0000, -2.996088655981231E+09,  3.509769755956932E+09, -1.370163371927001E+09, -2.940448468037289E+01, -4.001908330286520E+00, -6.352911368712146E-01,",,,
"2426923.500000000, A.D. 1932-Aug-04 00",00,"00.0000, -3.066953110810446E+09,  3.480169131982381E+09, -1.371860384701277E+09, -2.235377152083673E+01, -1.751593429436852E+01, -6.331705770598441E-01,",,,
"2426954.500000000, A.D. 1932-Sep-04 00",00,"00.0000, -3.110517710754510E+09,  3.420665081511104E+09, -1.373549008707293E+09, -9.425919263158379E+00, -2.582807806195141E+01, -6.293919344893020E-01,",,,
"2426984.500000000, A.D. 1932-Oct-04 00",00,"00.0000, -3.115586975047058E+09,  3.350987007430990E+09, -1.375172296305011E+09,  5.642527568586965E+00, -2.666524810517425E+01, -6.241271537433288E-01,",,,
"2427015.500000000, A.D. 1932-Nov-04 00",00,"00.0000, -3.080773600841269E+09,  3.287428922941859E+09, -1.376835253481848E+09,  1.976908317843210E+01, -1.950359200988545E+01, -6.171599540362047E-01,",,,
"2427045.500000000, A.D. 1932-Dec-04 00",00,"00.0000, -3.017217408843848E+09,  3.252850417021684E+09, -1.378427945495846E+09,  2.814498998014787E+01, -6.396001495954447E+00, -6.101363187069424E-01,",,,
"2427076.500000000, A.D. 1933-Jan-04 00",00,"00.0000, -2.939216629168755E+09,  3.257290287596360E+09, -1.380054997131474E+09,  2.860923903106008E+01,  9.785198000462403E+00, -6.031644943864403E-01,",,,
"2427107.500000000, A.D. 1933-Feb-04 00",00,"00.0000, -2.871657076493255E+09,  3.303265154898105E+09, -1.381663526624970E+09,  2.053996155212004E+01,  2.380299445713962E+01, -5.972114174197820E-01,",,,
"2427135.500000000, A.D. 1933-Mar-04 00",00,"00.0000, -2.836421998907729E+09,  3.370936982972932E+09, -1.383102219486850E+09,  7.990905084320906E+00,  3.110208553231605E+01, -5.922349628386261E-01,",,,
"2427166.500000000, A.D. 1933-Apr-04 00",00,"00.0000, -2.836203561470167E+09,  3.456377220230844E+09, -1.384682338548881E+09, -7.818073643628058E+00,  3.127172783487848E+01, -5.885899616046171E-01,",,,
"2427196.500000000, A.D. 1933-May-04 00",00,"00.0000, -2.874314429092080E+09,  3.529287275352830E+09, -1.386201832194008E+09, -2.093537592450413E+01,  2.386779353753202E+01, -5.857147284600650E-01,",,,
"2427227.500000000, A.D. 1933-Jun-04 00",00,"00.0000, -2.942515573074138E+09,  3.576518138532570E+09, -1.387764613416666E+09, -2.883130436706175E+01,  1.071662661162770E+01, -5.829371877123908E-01,",,,
"2427257.500000000, A.D. 1933-Jul-04 00",00,"00.0000, -3.019450806405242E+09,  3.585260857691638E+09, -1.389270852999585E+09, -2.928607126098435E+01, -4.017448846127550E+00, -5.800673697698175E-01,",,,
"2427288.500000000, A.D. 1933-Aug-04 00",00,"00.0000, -3.090133951705683E+09,  3.555599007683043E+09, -1.390820758421236E+09, -2.229877771015247E+01, -1.754135327753830E+01, -5.764715270698861E-01,",,,
"2427319.500000000, A.D. 1933-Sep-04 00",00,"00.0000, -3.133653502297695E+09,  3.495923703384253E+09, -1.392362416736683E+09, -9.427252490277850E+00, -2.590008873331914E+01, -5.727336252856858E-01,",,,
"2427349.500000000, A.D. 1933-Oct-04 00",00,"00.0000, -3.138741670295047E+09,  3.425918587081425E+09, -1.393844207843987E+09,  5.621565611146406E+00, -2.680843361530593E+01, -5.686320202116963E-01,",,,
"2427380.500000000, A.D. 1933-Nov-04 00",00,"00.0000, -3.103920545214614E+09,  3.361843109418285E+09, -1.395361763431180E+09,  1.977018911315042E+01, -1.972721759642563E+01, -5.636980003885750E-01,",,,
"2427410.500000000, A.D. 1933-Dec-04 00",00,"00.0000, -3.040238958482906E+09,  3.326623626516761E+09, -1.396814563069642E+09,  2.820778944691582E+01, -6.670624134108825E+00, -5.578392460461168E-01,",,,
"2427441.500000000, A.D. 1934-Jan-04 00",00,"00.0000, -2.961927272944061E+09,  3.330339567466604E+09, -1.398297835131384E+09,  2.875894869784226E+01,  9.498790430795905E+00, -5.512724522083627E-01,",,,
"2427472.500000000, A.D. 1934-Feb-04 00",00,"00.0000, -2.893863837723654E+09,  3.375637928860898E+09, -1.399762918212208E+09,  2.076919937805903E+01,  2.355705574053169E+01, -5.444832467582952E-01,",,,
"2427500.500000000, A.D. 1934-Mar-04 00",00,"00.0000, -2.858057787648481E+09,  3.442824249602487E+09, -1.401072104338137E+09,  8.254269512283784E+00,  3.091633833871738E+01, -5.393835637611257E-01,",,,
"2427531.500000000, A.D. 1934-Apr-04 00",00,"00.0000, -2.857160565717087E+09,  3.527903778655153E+09, -1.402509076546723E+09, -7.548895059682499E+00,  3.117349113187263E+01, -5.341028610755032E-01,",,,
"2427561.500000000, A.D. 1934-May-04 00",00,"00.0000, -2.894666407038822E+09,  3.600638963676205E+09, -1.403889976372403E+09, -2.070501810395814E+01,  2.383983722838875E+01, -5.304098130700687E-01,",,,
"2427592.500000000, A.D. 1934-Jun-04 00",00,"00.0000, -2.962371187850164E+09,  3.647815316695081E+09, -1.405309476371773E+09, -2.867594368772258E+01,  1.073111690117078E+01, -5.278962408375949E-01,",,,
"2427622.500000000, A.D. 1934-Jul-04 00",00,"00.0000, -3.038989250042340E+09,  3.656547902780283E+09, -1.406677607345003E+09, -2.920735169111174E+01, -4.005523847768723E+00, -5.262690444896854E-01,",,,
"2427653.500000000, A.D. 1934-Aug-04 00",00,"00.0000, -3.109512012206062E+09,  3.626837608353159E+09, -1.408085476881830E+09, -2.228690763719553E+01, -1.757492570651661E+01, -5.246930320422241E-01,",,,
"2427684.500000000, A.D. 1934-Sep-04 00",00,"00.0000, -3.153000861079639E+09,  3.566997580888467E+09, -1.409485912045719E+09, -9.446129566557593E+00, -2.600383037796448E+01, -5.220015254266617E-01,",,,
"2427714.500000000, A.D. 1934-Oct-04 00",00,"00.0000, -3.158114621132274E+09,  3.496675979643502E+09, -1.410831340250735E+09,  5.606844960401197E+00, -2.698257231467768E+01, -5.177576762151599E-01,",,,
"2427745.500000000, A.D. 1934-Nov-04 00",00,"00.0000, -3.123288914785155E+09,  3.432095963657120E+09, -1.412208349073591E+09,  1.980012988056011E+01, -1.996198137071040E+01, -5.116522691985947E-01,",,,
"2427775.500000000, A.D. 1934-Dec-04 00",00,"00.0000, -3.059486818798950E+09,  3.396254044191260E+09, -1.413525216889989E+09,  2.830333752209922E+01, -6.935715145123169E+00, -5.047023984637700E-01,",,,
"2427806.500000000, A.D. 1935-Jan-04 00",00,"00.0000, -2.980868059048339E+09,  3.399270355723103E+09, -1.414868109646753E+09,  2.892877435953836E+01,  9.248381970995432E+00, -4.970487594866166E-01,",,,
"2427837.500000000, A.D. 1935-Feb-04 00",00,"00.0000, -2.912310884213623E+09,  3.443921716049245E+09, -1.416193074767349E+09,  2.098889545684480E+01,  2.335748208802609E+01, -4.905267038858518E-01,",,,
"2427865.500000000, A.D. 1935-Mar-04 00",00,"00.0000, -2.875946464815976E+09,  3.510639061300021E+09, -1.417376451450630E+09,  8.501739992936614E+00,  3.077513127006096E+01, -4.857476024911644E-01,",,,
"2427896.500000000, A.D. 1935-Apr-04 00",00,"00.0000, -2.874391702666156E+09,  3.595380226743314E+09, -1.418674233022814E+09, -7.322509565600432E+00,  3.109734549912653E+01, -4.824195102875404E-01,",,,
"2427926.500000000, A.D. 1935-May-04 00",00,"00.0000, -2.911312624531463E+09,  3.667952567390381E+09, -1.419921186484221E+09, -2.051995221619192E+01,  2.380738078297604E+01, -4.802030172146008E-01,",,,
"2427957.500000000, A.D. 1935-Jun-04 00",00,"00.0000, -2.978540426635183E+09,  3.715079951320453E+09, -1.421202991120615E+09, -2.854264481460445E+01,  1.071374362239929E+01, -4.784391252169291E-01,",,,
"2427987.500000000, A.D. 1935-Jul-04 00",00,"00.0000, -3.054852289625977E+09,  3.723809774862326E+09, -1.422437984175870E+09, -2.912552167029564E+01, -4.026999691774961E+00, -4.763643963767821E-01,",,,
"2428018.500000000, A.D. 1935-Aug-04 00",00,"00.0000, -3.125221007287750E+09,  3.694060451178742E+09, -1.423708353077341E+09, -2.224707601988029E+01, -1.762139338504662E+01, -4.733353810013670E-01,",,,
"2428049.500000000, A.D. 1935-Sep-04 00",00,"00.0000, -3.168684542483618E+09,  3.634072907274811E+09, -1.424971006373737E+09, -9.435274375095686E+00, -2.609073833107536E+01, -4.692141768626730E-01,",,,
"2428079.500000000, A.D. 1935-Oct-04 00",00,"00.0000, -3.173834575269133E+09,  3.563454053848613E+09, -1.426183065019000E+09,  5.610094008032783E+00, -2.712306820498097E+01, -4.645029814182795E-01,",,,
"2428110.500000000, A.D. 1935-Nov-04 00",00,"00.0000, -3.139017329848647E+09,  3.498392089996646E+09, -1.427422380503043E+09,  1.982068238381958E+01, -2.015374501657229E+01, -4.590346785827117E-01,",,,
"2428140.500000000, A.D. 1935-Dec-04 00",00,"00.0000, -3.075110994264576E+09,  3.461946545391052E+09, -1.428606784476705E+09,  2.836819592084557E+01, -7.165177138292394E+00, -4.534745580307136E-01,",,,
"2428171.500000000, A.D. 1936-Jan-04 00",00,"00.0000, -2.996208771539869E+09,  3.464282177407219E+09, -1.429813728757097E+09,  2.905120319849113E+01,  9.004287179589584E+00, -4.478906782357073E-01,",,,
"2428202.500000000, A.D. 1936-Feb-04 00",00,"00.0000, -2.927184770057961E+09,  3.508296419522609E+09, -1.431003661451335E+09,  2.117407570870998E+01,  2.313049889065974E+01, -4.422245231418458E-01,",,,
"2428231.500000000, A.D. 1936-Mar-04 00",00,"00.0000, -2.889548185632708E+09,  3.577205489232780E+09, -1.432102743175501E+09,  8.220937421875309E+00,  3.074514624198042E+01, -4.372523067135958E-01,",,,
"2428262.500000000, A.D. 1936-Apr-04 00",00,"00.0000, -2.888721470259117E+09,  3.661626313313034E+09, -1.433265632699255E+09, -7.581731942071622E+00,  3.085467366201005E+01, -4.326083828700735E-01,",,,
"2428292.500000000, A.D. 1936-May-04 00",00,"00.0000, -2.926203088676399E+09,  3.733400869900557E+09, -1.434381881115098E+09, -2.066710195265653E+01,  2.340551518657912E+01, -4.290998602636531E-01,",,,
"2428323.500000000, A.D. 1936-Jun-04 00",00,"00.0000, -2.993641965084398E+09,  3.779351941310053E+09, -1.435528383207916E+09, -2.851434480355802E+01,  1.023292256811087E+01, -4.261214126018933E-01,",,,
